archivo_original,patron,tamano_patron,tiempo_busqueda_ms,ocurrencias
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
dna,atgaag,6,0,0
dna,tga,3,0,0
dna,atgaag tga,10,0,0
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
dna,ATCG,4,20,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,17,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,17,217359
dna,ATCG,4,17,217359
dna,ATCG,4,17,217359
dna,ATCG,4,17,217359
dna,ATCG,4,17,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,19,217359
dna,ATCG,4,18,217359
dna,ATCG,4,17,217359
dna,ATCG,4,18,217359
dna,ATCG,4,18,217359
dna,ATCG,4,17,217359
dna,ATCG,4,18,217359
dna,ATCG,4,17,217359
dna,GCTA,4,102,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,102,1058013
dna,GCTA,4,102,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,102,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,102,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,105,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,102,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,GCTA,4,103,1058013
dna,TACG,4,16,177831
dna,TACG,4,15,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,TACG,4,14,177831
dna,CGAT,4,18,215930
dna,CGAT,4,18,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,18,215930
dna,CGAT,4,18,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
