archivo_original,patron,tamano_patron,tiempo_busqueda_ms,ocurrencias
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++),4,0,15447
sources,for,3,0,215153
sources,(i,2,0,136871
sources,'for,4,0,24
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,i,1,0,7582998
sources,<,1,0,325296
sources,256;,4,0,537
sources,i++)',5,0,0
sources,'for,4,0,24
sources,(i,2,0,136871
sources,=,1,0,1502304
sources,0;,2,0,149230
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
